Student_ID,Attendance,Favourite_Color,Previous_Score,Random_Code,Age,Study_Hours,Gender,Lucky_Number,Absences,Education,Music_Preference,Income,Assignments_Completed,Random_Value,Stress_Level,City,Previous_Failures,Random_Flag,Parent_Support,Pet_Ownership,Financial_Stress,Random_Category,Library_Visits,Commute_Minutes,Birth_Weekday,Random_Number_2,Mock_Test_Score,Internet_Quality,Random_Date_Code,Mentor_Meetings,Sleep_Hours,Device,Random_Score,Academic_Warning,Extracurricular_Hours,Registration_Quarter,Random_Bucket,Assignment_Submission_Rate,Financial_Aid,Outcome
S149795,82.3,Green,44,563097,31,1.3,F,,17,PG,Pop,91133,1,81.05591966169487,10,Kollam,3,1,4,Dog,7,F,8,65,3,9393278,77,Good,1912911,5,5.0,Tablet,58.52747596375878,No,3.2,,X4,70.1,,Dropout
S134468,94.1,Green,,620165,46,6.1,F,,22,BTech,HipHop,71.1k,13,660.6824830095933,2,Kottayam,3,0,1,None,1,F,10,57,6,9177369,61,Excellent,57312,9,6.8,iOS,38.83084493107015,No,3.8,1,X2,56.7,NO,Continue
S136603,64.7%,Yellow,41,458806,19,1.4,F,587395,27,Diploma,Rock,8.2k,13,391.221813824272,6,,0,0,9,Dog,1,E,15,47,2,656977,91,Excellent,1417019,4,7.8,Laptop,80.87482444434427,No,13.5,1,X3,54.0,Yes,Dropout
S119995,68.9,White,32,250069,52,0.7,female,312645,8,BTech,,"₹41,080",16,614.9051189893114,8,Thrissur,2,0,7,Dog,3,A,10,18,6,8438532,29,Good,319047,11,8.6,,21.14148108882916,Yes,,1,X2,68.8,No,Dropout
,49.3,Red,47,573746,18,4.4,Female,954836,7,Graduate,Jazz,10069,5,,3,Kollam,2,0,7,None,2,F,9,116,1,5352924,100,Excellent,1711804,3,8.0,iOS,75.46344462664112,Yes,12.4,1,X2,97.6,YES,Continue
S122662,51.7,Red,44,832272,38,5.5,Male,169057,15,BTech,Jazz,37336,13,334.0672656565213,,Kottayam,4,0,1,,1,C,,55,1,7396600,61,Excellent,255468,7,8.4,Windows Laptop,91.98741089661839,No,,2,X5,,Yes,Dropout
S140216,49.1,Green,85,,32,1.6,F,470797,29,PG,,72.5k,2,735.0528886231019,6,Kollam,4,1,4,Dog,10,C,7,116,4,1824608,49,Good,85240,10,8.8,iOS,46.413109454786,,,1,X1,86.9,YES,Dropout
S138627,56.0,Green,51,925251,45,7.5,Male,818053,21,UG,Classical,22581,4,362.5286204079012,4,Kozhikode,3,1,4,None,6,D,,114,4,6400068,,Excellent,1878312,3,7.8,Laptop,38.2870892160611,Yes,6.1,4,X3,59.0,No,Dropout
,78.8,Yellow,92,995694,29,,male,832508,14,UG,Jazz,21.9k,13,391.2521521029774,4,Kozhikode,1,0,3,None,10,C,5,120,3,6873756,42,Average,79542,3,5.2,Android,41.97411359512664,Yes,14.9,2,,76.9,YES,Dropout
S131698,67.8,Yellow,56,692095,17,,F,479202,30,B.Tech,HipHop,11189,8,583.181322819286,5,Thiruvananthapuram,,1,9,Cat,7,D,,50,2,3327289,59,Good,1184765,6,7.3,Laptop,31.597452269544245,,14.9,2,X3,85.4,No,Continue
S103767,99.8,Red,99,755180,19,,male,939827,22,PG,Classical,47049,2,383.1126875308011,2,,2,0,9,Cat,6,C,,63,1,8011650,28,Excellent,204145,2,7.5,Laptop,59.482243756174704,Yes,4.5,1,,97.1,YES,Continue
S105669,53.4%,Yellow,93,,37,3.8,Male,,26,Graduate,HipHop,73590,14,223.88680586921964,,Kochi,4,0,6,Cat,8,E,,48,5,1629067,,Excellent,9011,8,6.5,Android,14.43238852923071,No,1.1,1,X3,70.5,No,Continue
S142138,72.2,Black,67,777609,,6.2,M,14961,29,Diploma,None,14058,5,607.7516446294877,3,Kochi,,1,7,Dog,3,C,5,35,3,6048107,94,Excellent,877249,,8.9,Tablet,76.26776188626107,Yes,7.9,2,X1,78.4,NO,Continue
S118633,74.8,Yellow,54,925217,43,8.0 hrs,Female,348356,24,Diploma,None,87392,,934.6822951587615,9,,3,0,5,None,6,E,13,78,0,7968354,,Excellent,1541813,10,4.6,Windows Laptop,43.18002601156684,No,6.2,1,X2,,YES,Dropout
S134708,61.3,Red,95,282228,52,3.7,Male,965819,28,Graduate,Jazz,,19,379.0688704466296,9,Thrissur,2,0,9,Dog,1,,17,104,2,1435770,82,Good,,9,4.5,Windows Laptop,28.147635156681538,Yes,5.7,2,X2,54.8,NO,Dropout
S131017,94.4%,Red,62,232169,43,2.4,male,,4,Diploma,Rock,"₹50,766",4,1189.2614544168323,,Thiruvananthapuram,0,0,10,Cat,7,A,,43,0,336056,32,Average,572912,9,7.7,Windows Laptop,79.6794609394978,No,6.7,4,X2,86.1,No,Dropout
S119703,47.4%,Green,54,149073,26,2.8,female,860623,27,,Jazz,,7,463.98554388052924,5,Kochi,0,,6,None,,B,10,27,5,1905553,89,Average,,6,4.9,Windows Laptop,71.80919824589452,No,3.0,2,X3,81.0,NO,Continue
S137689,0.54,Red,91,994298,31,7.6,F,168617,30,,,106781,16,,4,Kollam,,0,6,None,7,B,15,102,6,231026,82,Poor,1171265,2,7.9,Laptop,41.01025068229812,Yes,11.5,4,X4,59.6,Yes,Dropout
S140451,48.1,Yellow,63,218272,28,8.8,female,449546,0,Graduate,None,113.2k,14,,5,Thrissur,3,0,3,,1,E,15,117,4,2246689,,,1966876,7,7.1,Tablet,46.89361842748231,Yes,0.3,2,,41.8,Yes,Dropout
S127596,93.4,Black,35,989141,49,,Female,759307,6,Diploma,None,94704,15,268.3610103989928,6,Kochi,5,0,4,None,1,F,7,6,0,2398288,48,Poor,1913823,0,8.2,Windows Laptop,27.85302278613574,,2.3,1,X3,59.1,Yes,Dropout
S106145,70.5,Yellow,45,749607,30,4.7,Male,641917,19,,Jazz,29953,9,77.71730534084543,4,Kottayam,5,1,8,None,8,F,0,21,4,301687,64,,454417,0,7.0,Windows Laptop,30.108953219731728,Yes,11.8,3,X5,76.3,NO,Dropout
S144428,98.2,Blue,43,302794,51,2.6,F,327880,24,Graduate,,14094,13,41.93844922518508,4,Thiruvananthapuram,3,1,4,Cat,10,E,19,29,5,4238305,89,Excellent,638887,9,5.7,iOS,32.01548115075978,Yes,14.1,3,X1,41.8,YES,Dropout
S103086,95.6,Yellow,57,496349,48,5.4,Male,251958,25,UG,Classical,35862,19,1132.5008220191617,6,Kollam,0,1,5,None,3,,20,7,4,5885563,36,,111381,8,7.2,,2.0905950332024137,No,2.7,3,X5,70.7,YES,Dropout
S101680,0.67,White,60,865626,20,8.8,female,463141,13,BTech,,43057,19,576.0279718857555,9,,0,0,6,Cat,,,9,48,0,4961717,55,Poor,32795,5,6.3,Android,93.11505471277448,Yes,13.8,4,X4,86.8,YES,Dropout
S139337,0.94,Yellow,41,232636,45,8.0,Male,762775,22,UG,Classical,79861,7,290.13819813128686,8,Kollam,2,1,,Cat,7,F,9,29,6,5366787,82,Excellent,1480105,0,7.6,iOS,9.204634500424069,Yes,7.9,3,X2,76.8,No,Dropout
,0.91,Green,60,137774,57,7.9 hrs,Female,765196,28,UG,Classical,,13,658.9219234931757,1,Kochi,2,0,7,Bird,3,D,15,63,5,8940665,97,Good,1615197,5,6.4,,94.45319446289503,Yes,13.5,1,X1,94.6,Yes,Dropout
,82.9,White,83,613520,56,7.6,female,162800,20,PG,Rock,74.4k,,794.7373054685048,8,Thiruvananthapuram,2,0,9,,6,D,3,62,2,8829578,47,Average,1332412,11,6.8,Tablet,23.6505513989113,,0.9,2,X1,50.0,YES,Dropout
S118973,87.6,,51,552394,52,3.8,Male,536953,18,BTech,None,76659,16,82.21563676674992,10,Kochi,1,1,,Cat,9,D,13,39,4,7147109,28,Good,1926834,4,7.0,Tablet,27.818933569627223,,6.3,4,X5,50.8,NO,Dropout
,66.5%,Yellow,54,696791,51,8.4,Female,647903,9,PG,Classical,"₹46,470",15,366.99286900307305,6,Kochi,2,1,1,None,6,D,6,86,0,6281130,74,Average,910561,6,8.2,Windows Laptop,35.27628176280808,No,11.3,1,X1,92.1,NO,Dropout
S148501,55.3,Green,53,598418,,5.6,Male,335755,17,Graduate,Classical,"₹112,552",4,845.5426164243797,8,,0,1,6,Bird,4,A,16,61,6,9726396,72,Good,574696,8,6.2,Android,78.49178172764042,No,1.2,4,X1,51.2,YES,Dropout
S139798,90.8,Black,63,525749,54,,,113600,19,Graduate,Jazz,63148,16,1222.217059213826,1,Kochi,0,1,1,None,10,F,5,43,5,3211665,71,Excellent,968398,11,8.9,Tablet,60.07513509897737,Yes,4.3,4,X4,66.8,No,Dropout
S119879,53.2%,,70,920461,40,4.4 hrs,female,763206,5,Graduate,HipHop,87.7k,2,710.0587678024797,7,Thiruvananthapuram,4,,1,None,,D,5,84,5,9220112,41,Poor,,0,7.7,iOS,61.591719748081175,Yes,,3,X4,94.1,NO,Dropout
S118854,70.3,Red,58,632425,30,6.5,Male,696204,18,BTech,,,15,200.07370716233697,7,Kollam,3,1,2,None,1,F,7,35,1,702945,86,Average,87299,9,6.2,Android,9.144165188456366,No,7.9,2,X3,44.3,Yes,Continue
S145825,85.0,Yellow,54,159004,34,7.2,female,480940,12,Graduate,Pop,17435,8,751.5954503232443,,Kollam,,1,5,Bird,6,E,4,55,3,7759800,70,Good,1895021,5,5.6,iOS,1.9749278489972766,No,10.9,1,X2,88.4,YES,Dropout
S136304,48.3%,Red,98,204477,43,2.8 hrs,male,95387,15,PG,Pop,84116,17,301.5348583216796,6,Kollam,1,0,7,None,5,F,10,110,6,7235281,98,Excellent,914630,9,8.8,iOS,5.448311653547044,,8.9,3,,65.0,No,Continue
S102398,98.8,Green,98,720403,38,2.6,F,168195,,BTech,,44633,9,812.9024876996252,4,Kozhikode,5,1,8,None,4,C,6,94,0,2877484,53,Good,,6,7.4,,87.20880954222456,No,12.2,4,X4,47.6,YES,Dropout
S133475,49.2,Black,39,694704,55,6.9,Male,249076,7,Diploma,Rock,14148,5,706.1403316064211,,Kottayam,0,0,4,,10,F,0,,5,6214969,52,Good,309627,,9.0,Tablet,,Yes,4.0,2,X3,56.6,YES,Dropout
S120696,98.5,Black,61,122318,18,6.5,M,501963,30,Diploma,HipHop,99261,5,648.2685588086268,7,Kochi,2,1,9,None,,,10,32,0,8911458,50,Average,1436124,11,4.1,iOS,60.44336477283229,Yes,3.6,3,X1,96.8,YES,Continue
S101266,55.7,Blue,35,827940,18,8.5,Female,,29,BTech,Classical,,1,612.5603402176606,3,Thiruvananthapuram,5,0,10,Cat,,E,3,109,6,,45,Average,1146625,6,6.0,Windows Laptop,83.948298716786,Yes,1.2,1,X5,68.1,YES,Dropout
S130354,66.4,Red,51,481045,50,3.6 hrs,F,494223,15,UG,Pop,,10,98.53631721620263,1,Kollam,3,1,5,Bird,,E,1,92,0,6876546,50,Average,234177,12,,Android,0.3009401379291954,Yes,10.8,4,X4,96.8,Yes,Continue
S102512,74.5,Blue,35,165176,,8.2,male,27139,7,UG,HipHop,54973,3,591.2478925280625,9,Kochi,4,0,4,Dog,9,A,5,56,,4584414,57,Poor,1098814,9,5.0,Laptop,10.48737803814368,Yes,10.6,2,X3,52.0,YES,Continue
S119767,64.4,Green,57,478018,54,,Male,961540,8,UG,,97203,16,,,Kozhikode,0,0,7,None,5,F,1,99,0,3522146,37,Average,98065,11,8.6,Windows Laptop,1.3448248233204452,Yes,7.3,1,X4,55.0,Yes,Dropout
S141507,63.7,White,35,295929,57,4.3,female,289620,11,PG,,60176,11,855.552447490247,,Kollam,2,1,,None,10,F,15,55,4,5667755,52,Excellent,1979749,12,8.9,iOS,,No,14.9,1,X5,58.1,No,Continue
S119828,85.5,Red,91,810643,35,3.8,Male,417966,26,UG,Pop,42247,9,507.12357780650706,1,Kollam,3,0,,None,9,F,20,111,,6701915,51,Good,1060181,,8.5,Tablet,,Yes,7.8,1,X4,65.6,No,Dropout
S109716,97.0,White,54,,21,4.0,male,376323,14,BTech,Jazz,47602,5,106.2763931604369,2,Kochi,2,1,9,Bird,2,D,7,12,6,1405880,88,Good,1325949,5,5.2,Laptop,53.179093141183465,Yes,9.4,4,X3,,NO,Continue
S115370,86.2%,Black,30,231474,33,6.4,F,605783,13,Graduate,Pop,105768,13,,,Thrissur,4,1,9,None,1,E,9,19,5,1163273,95,Excellent,1654491,2,7.7,Laptop,25.50474280040901,,13.5,2,,64.5,Yes,Dropout
S148613,51.6,Green,93,806783,47,0.7 hrs,Female,457484,21,PG,Jazz,106483,18,476.64847714097544,9,Kottayam,3,1,,Bird,1,C,,,3,4910458,64,Good,1942014,8,5.7,iOS,2.3823046155892036,Yes,3.4,,X5,93.9,NO,Dropout
S107670,50.8,,39,479796,40,6.5,,292247,,,Jazz,76559,2,279.66607539941884,6,Kochi,3,0,4,Bird,9,,6,98,3,7636828,79,Poor,1578664,0,7.9,iOS,50.51096976698987,Yes,6.6,2,X5,71.0,NO,Dropout
,63.6%,Blue,38,295251,24,,Female,626968,26,BTech,Classical,57657,8,178.87843142166543,2,Thrissur,,0,1,Dog,3,B,7,119,0,130918,77,Excellent,1323740,1,6.5,iOS,63.43128728874452,No,13.9,1,X2,98.7,Yes,Dropout
S132218,85.8,,35,749450,58,6.5,F,847193,28,Diploma,Rock,73809,18,818.2997357988477,10,Kozhikode,4,0,6,Cat,2,B,18,36,6,6480774,34,Poor,186850,7,,Tablet,29.632188592216636,No,1.0,4,X1,45.3,YES,Continue
S135535,94.3,,86,797697,43,5.3,F,922996,2,Graduate,Rock,53293,1,640.4567272113296,,Kollam,0,1,5,Dog,2,,16,47,4,4878151,74,Average,1173347,7,8.5,Windows Laptop,9.02665647506149,Yes,2.1,,X3,96.7,NO,Continue
S138624,74.9,Black,66,185486,35,3.1,Female,933206,28,UG,HipHop,79848,10,217.8766999552762,10,Kottayam,,0,8,None,,E,12,,3,170965,60,Good,,3,5.0,Android,,Yes,11.3,2,,59.8,YES,Continue
S130665,95.3,Yellow,54,888556,41,6.4,F,870969,20,BTech,Classical,41379,7,613.7654366839427,10,Kochi,4,1,7,,2,C,0,97,2,9067868,70,Average,1739179,6,8.3,Android,91.3534245170938,Yes,13.3,2,,47.8,Yes,Dropout
S124538,0.94,Black,94,589976,29,7.7,M,429566,16,UG,Jazz,,18,614.3358150988777,3,Thiruvananthapuram,5,1,5,Bird,2,F,20,117,5,5800336,67,Good,,6,4.6,Tablet,12.047906640953377,No,2.4,2,X5,90.9,NO,Dropout
S108322,91.2,Green,90,,20,4.3 hrs,Female,840222,27,Diploma,None,98509,15,469.18541907993745,6,Thiruvananthapuram,0,0,9,Dog,1,B,18,105,2,518354,85,Average,339479,1,5.0,Android,33.25138429165154,Yes,0.6,2,X5,88.5,Yes,Continue
S124360,83.7%,Yellow,81,424521,33,1.5 hrs,Female,522595,12,B.Tech,HipHop,,11,157.67288643110055,8,Kottayam,5,0,1,Cat,10,E,8,51,6,9298794,55,Good,1400992,7,6.4,Windows Laptop,9.468175004594636,Yes,11.7,1,X5,59.5,YES,Continue
S146393,84.7,Black,82,239950,49,7.6,Male,367075,28,UG,Rock,,7,354.9434769594975,3,Kottayam,1,,7,Cat,9,E,2,106,1,387119,97,Excellent,1317260,8,6.3,Android,64.20025725164965,No,13.9,2,X2,43.0,Yes,Continue
S111648,74.4%,Black,60,239565,28,4.3,Female,,,BTech,Pop,94287,8,519.4043319935962,7,Kozhikode,,1,1,Dog,4,B,6,81,5,8613851,67,Average,1236982,1,6.7,Tablet,92.8670099998023,Yes,8.1,4,,61.0,No,Dropout
S134720,56.4%,Blue,49,701456,19,5.1,Female,409976,6,,Pop,24875,3,56.93897146957369,3,Thrissur,1,0,1,None,6,,10,44,0,2363980,77,Excellent,,3,7.9,iOS,14.998025457385156,No,5.6,3,X3,81.5,Yes,Dropout
S128453,89.4,Green,34,590117,43,0.8,Male,605427,17,B.Tech,Jazz,"₹87,470",3,620.233530617102,3,Kollam,5,0,2,Bird,6,E,,30,1,3986745,67,Excellent,1971534,7,6.0,Android,64.59085637563074,Yes,8.9,4,X5,96.2,NO,Dropout
S138442,88.4,Black,41,122250,19,5.2h,M,482094,10,Diploma,None,34058,16,739.7786689788184,7,Kottayam,2,1,4,Dog,5,F,17,,3,1113751,52,Average,615185,6,9.0,Tablet,74.11553790178544,No,,2,X5,86.7,YES,Dropout
S123932,91.7,,,,18,7.4,M,105444,29,BTech,Jazz,103297,18,354.9329257585241,8,Kozhikode,,0,4,Bird,10,C,6,69,4,,66,Poor,1690795,12,5.8,Android,7.564892022389069,Yes,,,X3,58.4,NO,Dropout
S113548,76.9,Green,,,21,3.5,female,882353,22,B.Tech,None,107775,5,904.6554323142989,,Thrissur,4,0,7,Dog,3,D,9,119,4,7165350,91,Good,96917,12,4.1,Android,90.91930354879175,No,,1,X3,68.3,No,Dropout
S145134,85.4,,92,202627,55,4.3,Female,945949,25,PG,Jazz,65576,,-73.29154112923959,7,Kozhikode,5,1,1,None,2,A,18,35,0,9741596,74,Excellent,1809662,9,,Windows Laptop,86.76115051446456,No,9.6,2,X2,,,Continue
S128148,59.1,Red,77,909616,49,2.8,female,950904,18,PG,None,,6,667.5954611910665,10,Thrissur,5,0,6,None,8,B,11,65,,1300462,87,Poor,1844580,1,,Laptop,45.5047809869117,No,4.6,4,X5,75.3,YES,Continue
S127670,65.7,Black,43,590631,47,5.7,male,631899,13,,Classical,86974,3,1035.014591162343,3,Thiruvananthapuram,0,,7,Bird,9,B,1,103,3,2086598,68,Good,636199,2,8.4,Laptop,79.52376985719697,No,4.1,2,X4,98.8,YES,Dropout
,68.6,Green,76,735329,48,6.7,Male,235503,30,Diploma,Pop,79232,18,602.001263108159,1,Kollam,2,0,8,Bird,1,D,7,31,4,1081676,24,Good,1931464,0,,Android,12.539877979470992,Yes,6.3,2,X4,48.9,Yes,Continue
S143079,45.1,Black,72,941310,51,1.8,female,561144,1,UG,Jazz,54568,,376.43813754341033,4,Thrissur,0,1,2,None,8,A,19,,1,5030464,25,Poor,1659928,1,4.5,Android,99.00100356512571,No,5.2,3,X1,98.4,YES,Dropout
S134357,73.7,Green,42,,43,1.0 hrs,M,133112,28,,Rock,55539,20,585.4407610884662,7,Kozhikode,1,0,1,None,,F,19,102,1,1257376,53,Excellent,549550,7,8.2,Tablet,53.64736984621389,No,5.3,4,X4,59.5,YES,Continue
S136992,78.8,Green,,125590,43,4.3,F,567336,29,Diploma,Rock,65704,18,352.3378472910909,5,Kochi,3,0,1,,10,E,,111,0,6706731,28,Good,505560,11,5.3,iOS,60.2683589241594,Yes,,3,X3,49.8,Yes,Continue
S137237,62.7,White,48,424987,53,4.7,female,713799,28,Diploma,None,63179,12,659.2580235306094,4,Thiruvananthapuram,0,0,9,Dog,5,,18,108,0,,75,Excellent,1358228,0,8.5,iOS,77.74586548085504,No,1.9,2,X1,61.9,YES,Dropout
S139299,45.4,White,89,276004,31,0.7h,male,790871,,Diploma,,58223,1,678.7187210036609,9,Kozhikode,1,1,10,Bird,4,,3,56,4,26699,95,Poor,1960112,11,6.2,iOS,1.9181981947715032,,,1,X5,79.6,Yes,Continue
S119630,77.3,Blue,37,102829,39,7.8,female,790462,27,Graduate,Classical,15761,12,146.3754207415745,4,Thrissur,0,0,5,Cat,3,F,15,119,5,199981,59,,1382389,12,4.8,Laptop,14.3999420970785,Yes,4.3,1,X4,45.6,,Continue
S130514,83.5%,,70,384401,24,2.4,F,557008,,UG,Jazz,57906,4,476.22973959763283,4,Thrissur,3,1,7,Cat,8,A,5,68,4,5897975,,Good,92492,9,4.2,iOS,38.18205185815686,No,10.7,2,X3,40.5,No,Dropout
,86.5%,Yellow,43,281104,48,5.2,Female,547462,8,UG,Pop,28224,,551.3507745182462,1,Kochi,2,1,5,,9,,9,84,,8967138,66,Excellent,849772,,8.4,Windows Laptop,75.46295637273408,No,10.0,4,X2,,NO,Dropout
S115123,82.8,,42,,27,2.9,male,169787,18,BTech,Pop,32111,16,961.2553068936097,8,Thrissur,5,0,6,,8,C,5,92,3,3948729,48,Average,364821,11,8.5,iOS,56.80997504057383,Yes,10.0,1,X2,97.5,Yes,Dropout
S147848,68.3,Green,97,514901,45,6.4,M,530625,6,Diploma,None,93263,8,762.5913879633133,8,Kochi,2,1,9,Bird,6,D,11,,0,3477801,44,Excellent,922655,5,4.1,,89.29989481733071,Yes,13.8,3,X3,74.3,NO,Continue
,0.99,Blue,,,40,1.8,M,111344,30,PG,Pop,77309,7,714.37085660982,6,Thiruvananthapuram,1,0,8,None,8,C,,13,4,6711043,55,Good,,7,6.8,Laptop,,No,8.7,1,X2,,,Continue
S103759,,Green,92,967871,,4.7,M,974728,30,UG,Jazz,12362,16,909.4354355233618,1,Kozhikode,,0,8,Cat,7,E,6,103,1,6591122,57,,1703359,,6.5,Android,90.67419578371495,Yes,5.1,3,X5,40.7,No,Dropout
S104519,85.8,,51,515079,20,2.1,male,370196,18,B.Tech,Jazz,109799,16,249.3226490236604,6,Kochi,4,1,9,Cat,1,D,15,75,6,4416540,57,Good,1129805,6,7.2,Laptop,27.120934399765595,Yes,7.2,3,,,NO,Continue
S113226,90.9%,Black,100,854801,41,5.0,female,628349,20,Graduate,Classical,44.3k,0,502.47111568149614,6,Kochi,2,0,3,Dog,2,A,6,25,5,3697161,41,,1722599,10,8.2,iOS,,No,10.6,1,X5,77.9,NO,Continue
S125910,48.2,Red,78,947144,26,1.4,Female,372098,6,,Jazz,68502,20,634.2237814513809,4,Kozhikode,2,1,2,None,7,F,10,26,4,557965,27,Average,671881,1,,Tablet,90.95760580160905,No,6.2,3,X1,94.3,NO,Dropout
S132872,71.6,,,138526,28,4.3,male,210112,21,,Rock,62575,20,217.05648823671174,3,Thrissur,1,0,9,None,7,B,0,46,4,8695121,75,Average,1142498,6,6.5,Windows Laptop,33.677897633990774,Yes,7.3,4,X3,61.2,,Dropout
S136205,94.1,White,45,751259,49,6.6,male,,9,PG,Rock,101.1k,9,552.2614788576134,2,Thiruvananthapuram,1,0,8,Bird,6,D,11,112,1,2010794,41,Excellent,1967628,0,5.5,Tablet,98.54563733013487,Yes,7.9,,X1,97.4,Yes,Dropout
S122935,58.1,Black,75,679580,54,6.8,M,712088,,Graduate,Jazz,82954,16,541.6007718745258,10,Kollam,3,0,4,Bird,9,F,2,55,1,9191405,45,Poor,1003801,10,7.5,Android,3.1264054566613964,Yes,4.9,1,X3,51.5,Yes,Dropout
S135637,83.7%,Red,77,,60,7.6,M,539881,30,Graduate,HipHop,114191,1,481.2192963906032,2,Kochi,5,1,1,,5,F,7,80,0,57629,86,Poor,1214214,12,4.0,Tablet,,Yes,13.8,2,X2,80.3,No,Dropout
S143805,77.7,White,36,746272,45,8.8,Male,74053,18,UG,Rock,42.1k,13,440.696571056283,6,Thiruvananthapuram,0,1,8,Dog,,,20,54,3,9994095,36,Good,1462297,1,7.2,Tablet,,No,12.5,3,X2,67.0,Yes,Dropout
S114664,88.1,Black,81,116454,24,5.0,,955514,26,BTech,HipHop,88207,12,565.7521434421034,4,Thrissur,3,0,6,Bird,5,,12,47,0,8727370,44,,272549,8,8.4,Tablet,6.19864687919166,No,2.9,1,,44.2,YES,Dropout
S118879,91.3,Black,97,126739,54,3.3,Female,,,Graduate,,14199,4,63.714062893581,1,Thiruvananthapuram,,0,9,Cat,3,,3,30,6,2690432,44,Good,817423,9,7.4,Android,68.18765846877409,No,6.2,4,X2,74.4,Yes,Continue
S105887,79.4,Yellow,54,691934,55,,M,259019,11,UG,Classical,118851,15,252.54481453250784,3,Kozhikode,1,1,,Bird,4,C,19,,3,9351543,62,Average,,11,5.3,iOS,30.96991603507585,No,1.9,1,X3,70.7,NO,Dropout
S130771,72.4,Green,,811175,18,0.8,female,306030,25,UG,None,70019,11,698.642314142205,4,Kollam,3,0,7,Dog,8,E,4,72,,1462204,64,Excellent,1008135,5,,Tablet,30.097565508580704,No,,4,X3,,NO,Dropout
